Id	Label	Color
1	Sam Houston St.	12
2	E. Washington	1
3	Abil Chr.	12
4	Georgia State	10
5	Texas A&M	10
6	South Carolina	10
7	E. Illinois	6
8	Minnesota	3
9	Presbyterian	9
10	Northern Illinois	3
11	Missouri St.	1
12	Northwestern St.	12
13	Bryant	13
14	Stony Brook	13
15	Wake Forest	10
16	La.-Monroe	10
17	Chattanooga	9
18	C. Michigan	3
19	Howard	4
20	Akron	3
21	Charlotte	9
22	Campbell	8
23	Reinhardt	9
24	Mercer	9
25	E. Kentucky	6
26	Robert Morris	13
27	Point U	9
28	Charleston So.	9
29	Missouri Baptist	8
30	SE Missouri St.	6
31	Idaho State	1
32	Utah	7
33	Valparaiso	8
34	W. Illinois	1
35	Boise St.	7
36	Ole Miss	10
37	Kentucky Chr.	6
38	Tenn. Tech	6
39	Taylor	8
40	S. Illinois	1
41	Tulane	3
42	Tulsa	2
43	Cal-Poly	1
44	New Mexico St.	10
45	Union College (KY)	6
46	Murray St.	6
47	North Dakota	1
48	San Jose St.	7
49	Rutgers	3
50	Washington St.	7
51	Weber St.	1
52	Arizona St.	7
53	Temple	3
54	Vanderbilt	10
55	BYU	7
56	Connecticut	3
57	Villanova	13
58	Syracuse	3
59	Jacksonville St.	6
60	Michigan St.	3
61	Bowling Green	3
62	W. Kentucky	2
63	Colorado St.	7
64	Colorado	7
65	Texas-San Antonio	2
66	Houston	2
67	UNLV	7
68	Arizona	7
69	Penn St.	3
70	UCF	3
71	UCLA	7
72	Virginia	3
73	Delaware	13
74	Pittsburgh	3
75	W. Michigan	3
76	Purdue	3
77	Wagner	13
78	Georgetown	11
79	N. Iowa	1
80	Iowa	3
81	Ohio St.	3
82	Navy	10
83	Troy	10
84	UAB	10
85	Appalachian St.	10
86	Michigan	3
87	UT Martin	6
88	Kentucky	10
89	N. Dakota St.	1
90	Iowa St.	2
91	Youngstown St.	1
92	Illinois	3
93	Indiana St.	1
94	Indiana	3
95	Wofford	9
96	Georgia Tech	10
97	Ga. Southern	10
98	N. Carolina St.	10
99	Delaware St.	4
100	Monmouth	13
101	Colgate	11
102	Ball St.	3
103	Nicholls St.	12
104	Air Force	7
105	So. Utah	1
106	Nevada	7
107	Boston College	3
108	Massachusetts	3
109	California	7
110	Northwestern	3
111	FAU	2
112	Nebraska	3
113	Hampton	4
114	Old Dominion	2
115	South Dakota St.	1
116	Missouri	10
117	Marshall	2
118	Miami (Ohio)	3
119	James Madison	13
120	Maryland	3
121	Rice	2
122	Notre Dame	3
123	Duquesne	13
124	Buffalo	3
125	West Virginia	2
126	Alabama	10
127	UC-Davis	1
128	Stanford	7
129	Portland St.	1
130	Oregon St.	7
131	William & Mary	13
132	Virginia Tech	3
133	Arkansas	10
134	Auburn	10
135	Montana	1
136	Wyoming	7
137	Virginia-Lynchburg	5
138	Alcorn St.	5
139	Faith U.	5
140	Mississippi Valley St.	5
141	S.C. State	4
142	Benedict	4
143	Clemson	10
144	Georgia	10
145	Elon	13
146	Duke	3
147	VMI	9
148	Bucknell	11
149	Coastal Carolina	9
150	The Citadel	9
151	Liberty	9
152	North Carolina	3
153	Morgan St.	4
154	E. Michigan	3
155	Holy Cross	11
156	Albany	13
157	Central Conn. St.	13
158	Towson	13
159	Ohio	3
160	Kent St.	3
161	Morehead St.	8
162	Richmond	13
163	Norfolk St.	4
164	Maine	13
165	Marist	8
166	Sacred Heart	13
167	St. Francis	13
168	Fordham	11
169	Samford	9
170	TCU	2
